"DATE","AVEMAX"
20031101,65
20031201,59
20040101,-4
20040201,32
20040301,154
20040401,190
20040501,224
20040601,285
20040701,333
20040801,305
20040901,261
20041001,178
20041101,96
20041201,54
20050101,55
19161001,130
19161101,61
19161201,4
19170101,-7
19170201,30
19170301,21
19170401,97
19170501,138
19170601,223
19171101,94
19171201,55
19180101,0
19180201,26
19180301,89
19180401,96
19180501,152
19410401,-83
